seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
45,1,0.1,Y,0,-1.3840568580422496e-01,4.3774011602301338e-01,4.5909970925582066e-01,3.966335e-05,6.216174e-04,0.999319,-2.2106497125442681e-01,3.7452534482339550e-01,9000,16,1,1.0,1,0.01,16,0,3,168.8,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf3.0.pt,3.0,warm_start_scan_xi0_xf3.0.csv
42,0,0,N,,-3.9748229452207567e-01,1.5566071023337855e-01,4.2687519390202794e-01,4.831453e-09,1.239920e-11,1.000000,-3.7392335017321038e-01,2.2208170484316486e-01,15000,16,1,1.0,1,0.01,16,0,3.25,281.8,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf3.25.pt,3.25,warm_start_scan_xi0_xf3.25.csv
42,1,0.1,Y,0,-3.1126633732173914e-01,3.6855936939490835e-01,4.8241345495172833e-01,1.105215e-05,4.695358e-05,0.999949,-3.7392335017321038e-01,2.2208170484316486e-01,9000,16,1,1.0,1,0.01,16,0,3.25,168.5,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf3.25.pt,3.25,warm_start_scan_xi0_xf3.25.csv
45,0,0,N,,3.9729376461409865e-01,-1.5590110127743620e-01,4.2678740466508647e-01,4.171013e-09,9.616785e-12,1.000000,-3.7392335017321038e-01,2.2208170484316486e-01,15000,16,1,1.0,1,0.01,16,0,3.25,280.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf3.25.pt,3.25,warm_start_scan_xi0_xf3.25.csv
45,1,0.1,Y,0,3.1804783708232781e-01,-3.7123412189072019e-01,4.8884476056179738e-01,1.219690e-05,6.091204e-05,0.999939,-3.7392335017321038e-01,2.2208170484316486e-01,9000,16,1,1.0,1,0.01,16,0,3.25,169.9,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf3.25.pt,3.25,warm_start_scan_xi0_xf3.25.csv
42,0,0,N,,4.1750035656353129e-01,8.1781178855779374e-02,4.2543472936011789e-01,6.001118e-09,1.328253e-11,1.000000,-4.3489370505066838e-01,-2.5339175413038040e-03,15000,16,1,1.0,1,0.01,16,0,3.5,282.2,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf3.5.pt,3.5,warm_start_scan_xi0_xf3.5.csv
42,1,0.1,Y,0,4.2350999802175293e-01,-2.5438389587184385e-01,4.9403631941722892e-01,9.753549e-06,3.121666e-05,0.999965,-4.3489370505066838e-01,-2.5339175413038040e-03,9000,16,1,1.0,1,0.01,16,0,3.5,168.6,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf3.5.pt,3.5,warm_start_scan_xi0_xf3.5.csv
45,0,0,N,,-4.1753439529617203e-01,-8.1944630715860389e-02,4.2549958138463401e-01,3.589498e-09,7.785132e-12,1.000000,-4.3489370505066838e-01,-2.5339175413038040e-03,15000,16,1,1.0,1,0.01,16,0,3.5,280.9,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf3.5.pt,3.5,warm_start_scan_xi0_xf3.5.csv
45,1,0.1,Y,0,-3.9567106828172754e-01,2.2693703389141545e-01,4.5613157271409854e-01,1.085735e-05,5.772397e-05,0.999946,-4.3489370505066838e-01,-2.5339175413038040e-03,9000,16,1,1.0,1,0.01,16,0,3.5,169.3,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf3.5.pt,3.5,warm_start_scan_xi0_xf3.5.csv
42,0,0,N,,-2.9430326110254235e-01,-3.0560527972791068e-01,4.2427467104832661e-01,4.240602e-09,9.616341e-12,1.000000,-3.6192704155485067e-01,-2.4113849137405927e-01,15000,16,1,1.0,1,0.01,16,0,3.75,281.3,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf3.75.pt,3.75,warm_start_scan_xi0_xf3.75.csv
42,1,0.1,Y,0,-4.2701171652904052e-01,9.0769373220437155e-02,4.3655249989881934e-01,8.260575e-06,2.776497e-05,0.999970,-3.6192704155485067e-01,-2.4113849137405927e-01,9000,16,1,1.0,1,0.01,16,0,3.75,168.3,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf3.75.pt,3.75,warm_start_scan_xi0_xf3.75.csv
